City,Date,Type,Severity,Count,city,mon,avg_star,avg_review_count,restaurant_number
Indianapolis,01-2019,Cold,Severe,1,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2019,Fog,Moderate,7,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2019,Fog,Severe,10,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2019,Hail,Other,1,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2019,Rain,Light,43,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2019,Rain,Moderate,5,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2019,Snow,Heavy,1,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2019,Snow,Light,66,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2019,Snow,Moderate,14,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2019,Storm,Severe,1,Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2020,Fog,Moderate,3,Indianapolis,01-2020,3.922678505,311.5287,920
Indianapolis,01-2020,Fog,Severe,25,Indianapolis,01-2020,3.922678505,311.5287,920
Indianapolis,01-2020,Precipitation,UNK,2,Indianapolis,01-2020,3.922678505,311.5287,920
Indianapolis,01-2020,Rain,Heavy,3,Indianapolis,01-2020,3.922678505,311.5287,920
Indianapolis,01-2020,Rain,Light,77,Indianapolis,01-2020,3.922678505,311.5287,920
Indianapolis,01-2020,Rain,Moderate,20,Indianapolis,01-2020,3.922678505,311.5287,920
Indianapolis,01-2020,Snow,Light,51,Indianapolis,01-2020,3.922678505,311.5287,920
Indianapolis,01-2020,Snow,Moderate,2,Indianapolis,01-2020,3.922678505,311.5287,920
Indianapolis,01-2021,Fog,Severe,26,Indianapolis,01-2021,4.021309771,268.1892,742
Indianapolis,01-2021,Rain,Light,25,Indianapolis,01-2021,4.021309771,268.1892,742
Indianapolis,01-2021,Rain,Moderate,8,Indianapolis,01-2021,4.021309771,268.1892,742
Indianapolis,01-2021,Snow,Heavy,4,Indianapolis,01-2021,4.021309771,268.1892,742
Indianapolis,01-2021,Snow,Light,52,Indianapolis,01-2021,4.021309771,268.1892,742
Indianapolis,01-2021,Snow,Moderate,13,Indianapolis,01-2021,4.021309771,268.1892,742
Indianapolis,01-2022,Fog,Moderate,9,Indianapolis,01-2022,3.995165189,286.2756,634
Indianapolis,01-2022,Fog,Severe,10,Indianapolis,01-2022,3.995165189,286.2756,634
Indianapolis,01-2022,Rain,Light,11,Indianapolis,01-2022,3.995165189,286.2756,634
Indianapolis,01-2022,Rain,Moderate,2,Indianapolis,01-2022,3.995165189,286.2756,634
Indianapolis,01-2022,Snow,Light,39,Indianapolis,01-2022,3.995165189,286.2756,634
Indianapolis,02-2019,Fog,Moderate,13,Indianapolis,02-2019,3.916129032,334.6308,945
Indianapolis,02-2019,Fog,Severe,29,Indianapolis,02-2019,3.916129032,334.6308,945
Indianapolis,02-2019,Rain,Heavy,3,Indianapolis,02-2019,3.916129032,334.6308,945
Indianapolis,02-2019,Rain,Light,73,Indianapolis,02-2019,3.916129032,334.6308,945
Indianapolis,02-2019,Rain,Moderate,20,Indianapolis,02-2019,3.916129032,334.6308,945
Indianapolis,02-2019,Snow,Heavy,1,Indianapolis,02-2019,3.916129032,334.6308,945
Indianapolis,02-2019,Snow,Light,40,Indianapolis,02-2019,3.916129032,334.6308,945
Indianapolis,02-2019,Snow,Moderate,15,Indianapolis,02-2019,3.916129032,334.6308,945
Indianapolis,02-2020,Fog,Severe,22,Indianapolis,02-2020,3.943803498,303.5199,947
Indianapolis,02-2020,Rain,Light,57,Indianapolis,02-2020,3.943803498,303.5199,947
Indianapolis,02-2020,Rain,Moderate,13,Indianapolis,02-2020,3.943803498,303.5199,947
Indianapolis,02-2020,Snow,Heavy,5,Indianapolis,02-2020,3.943803498,303.5199,947
Indianapolis,02-2020,Snow,Light,52,Indianapolis,02-2020,3.943803498,303.5199,947
Indianapolis,02-2020,Snow,Moderate,7,Indianapolis,02-2020,3.943803498,303.5199,947
Indianapolis,02-2021,Fog,Moderate,11,Indianapolis,02-2021,4.023325358,266.5335,708
Indianapolis,02-2021,Fog,Severe,3,Indianapolis,02-2021,4.023325358,266.5335,708
Indianapolis,02-2021,Rain,Light,26,Indianapolis,02-2021,4.023325358,266.5335,708
Indianapolis,02-2021,Rain,Moderate,4,Indianapolis,02-2021,4.023325358,266.5335,708
Indianapolis,02-2021,Snow,Heavy,2,Indianapolis,02-2021,4.023325358,266.5335,708
Indianapolis,02-2021,Snow,Light,50,Indianapolis,02-2021,4.023325358,266.5335,708
Indianapolis,02-2021,Snow,Moderate,10,Indianapolis,02-2021,4.023325358,266.5335,708
Indianapolis,03-2019,Fog,Moderate,7,Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2019,Fog,Severe,7,Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2019,Hail,Other,1,Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2019,Rain,Heavy,4,Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2019,Rain,Light,75,Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2019,Rain,Moderate,22,Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2019,Snow,Heavy,3,Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2019,Snow,Light,26,Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2019,Snow,Moderate,7,Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2020,Fog,Moderate,1,Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2020,Fog,Severe,32,Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2020,Precipitation,UNK,2,Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2020,Rain,Heavy,1,Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2020,Rain,Light,101,Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2020,Rain,Moderate,11,Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2020,Snow,Heavy,5,Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2020,Snow,Light,16,Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2020,Snow,Moderate,7,Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2021,Fog,Severe,10,Indianapolis,03-2021,3.999046256,259.0343,828
Indianapolis,03-2021,Precipitation,UNK,13,Indianapolis,03-2021,3.999046256,259.0343,828
Indianapolis,03-2021,Rain,Heavy,7,Indianapolis,03-2021,3.999046256,259.0343,828
Indianapolis,03-2021,Rain,Light,61,Indianapolis,03-2021,3.999046256,259.0343,828
Indianapolis,03-2021,Rain,Moderate,16,Indianapolis,03-2021,3.999046256,259.0343,828
Indianapolis,03-2021,Storm,Severe,1,Indianapolis,03-2021,3.999046256,259.0343,828
Indianapolis,04-2019,Fog,Moderate,3,Indianapolis,04-2019,3.897511234,359.756,944
Indianapolis,04-2019,Fog,Severe,12,Indianapolis,04-2019,3.897511234,359.756,944
Indianapolis,04-2019,Precipitation,UNK,3,Indianapolis,04-2019,3.897511234,359.756,944
Indianapolis,04-2019,Rain,Heavy,4,Indianapolis,04-2019,3.897511234,359.756,944
Indianapolis,04-2019,Rain,Light,72,Indianapolis,04-2019,3.897511234,359.756,944
Indianapolis,04-2019,Rain,Moderate,21,Indianapolis,04-2019,3.897511234,359.756,944
Indianapolis,04-2019,Snow,Light,2,Indianapolis,04-2019,3.897511234,359.756,944
Indianapolis,04-2020,Fog,Moderate,1,Indianapolis,04-2020,3.881109022,244.0959,581
Indianapolis,04-2020,Fog,Severe,8,Indianapolis,04-2020,3.881109022,244.0959,581
Indianapolis,04-2020,Rain,Light,72,Indianapolis,04-2020,3.881109022,244.0959,581
Indianapolis,04-2020,Rain,Moderate,4,Indianapolis,04-2020,3.881109022,244.0959,581
Indianapolis,04-2020,Snow,Light,1,Indianapolis,04-2020,3.881109022,244.0959,581
Indianapolis,04-2020,Storm,Severe,1,Indianapolis,04-2020,3.881109022,244.0959,581
Indianapolis,04-2021,Fog,Severe,5,Indianapolis,04-2021,3.98631905,248.2468,809
Indianapolis,04-2021,Precipitation,UNK,4,Indianapolis,04-2021,3.98631905,248.2468,809
Indianapolis,04-2021,Rain,Heavy,6,Indianapolis,04-2021,3.98631905,248.2468,809
Indianapolis,04-2021,Rain,Light,56,Indianapolis,04-2021,3.98631905,248.2468,809
Indianapolis,04-2021,Rain,Moderate,13,Indianapolis,04-2021,3.98631905,248.2468,809
Indianapolis,04-2021,Snow,Heavy,3,Indianapolis,04-2021,3.98631905,248.2468,809
Indianapolis,04-2021,Snow,Light,10,Indianapolis,04-2021,3.98631905,248.2468,809
Indianapolis,04-2021,Snow,Moderate,8,Indianapolis,04-2021,3.98631905,248.2468,809
Indianapolis,05-2019,Fog,Severe,21,Indianapolis,05-2019,3.893040795,336.1203,976
Indianapolis,05-2019,Precipitation,UNK,4,Indianapolis,05-2019,3.893040795,336.1203,976
Indianapolis,05-2019,Rain,Heavy,1,Indianapolis,05-2019,3.893040795,336.1203,976
Indianapolis,05-2019,Rain,Light,95,Indianapolis,05-2019,3.893040795,336.1203,976
Indianapolis,05-2019,Rain,Moderate,20,Indianapolis,05-2019,3.893040795,336.1203,976
Indianapolis,05-2020,Fog,Moderate,1,Indianapolis,05-2020,3.82278481,252.8413,592
Indianapolis,05-2020,Fog,Severe,4,Indianapolis,05-2020,3.82278481,252.8413,592
Indianapolis,05-2020,Precipitation,UNK,4,Indianapolis,05-2020,3.82278481,252.8413,592
Indianapolis,05-2020,Rain,Heavy,5,Indianapolis,05-2020,3.82278481,252.8413,592
Indianapolis,05-2020,Rain,Light,95,Indianapolis,05-2020,3.82278481,252.8413,592
Indianapolis,05-2020,Rain,Moderate,17,Indianapolis,05-2020,3.82278481,252.8413,592
Indianapolis,05-2021,Fog,Moderate,4,Indianapolis,05-2021,3.979435676,261.7623,839
Indianapolis,05-2021,Fog,Severe,3,Indianapolis,05-2021,3.979435676,261.7623,839
Indianapolis,05-2021,Precipitation,UNK,2,Indianapolis,05-2021,3.979435676,261.7623,839
Indianapolis,05-2021,Rain,Heavy,2,Indianapolis,05-2021,3.979435676,261.7623,839
Indianapolis,05-2021,Rain,Light,83,Indianapolis,05-2021,3.979435676,261.7623,839
Indianapolis,05-2021,Rain,Moderate,17,Indianapolis,05-2021,3.979435676,261.7623,839
Indianapolis,06-2019,Fog,Moderate,3,Indianapolis,06-2019,3.877009646,338.5527,1029
