city,mon,avg_star,avg_review_count,restaurant_number
Indianapolis,01-2019,3.900718608,356.9376,902
Indianapolis,01-2020,3.922678505,311.5287,920
Indianapolis,01-2021,4.021309771,268.1892,742
Indianapolis,01-2022,3.995165189,286.2756,634
Indianapolis,02-2019,3.916129032,334.6308,945
Indianapolis,02-2020,3.943803498,303.5199,947
Indianapolis,02-2021,4.023325358,266.5335,708
Indianapolis,03-2019,3.885182908,336.1903,997
Indianapolis,03-2020,3.932198327,302.4881,771
Indianapolis,03-2021,3.999046256,259.0343,828
Indianapolis,04-2019,3.897511234,359.756,944
Indianapolis,04-2020,3.881109022,244.0959,581
Indianapolis,04-2021,3.98631905,248.2468,809
Indianapolis,05-2019,3.893040795,336.1203,976
Indianapolis,05-2020,3.82278481,252.8413,592
Indianapolis,05-2021,3.979435676,261.7623,839
Indianapolis,06-2019,3.877009646,338.5527,1029
Indianapolis,06-2020,3.947507552,288.1193,655
Indianapolis,06-2021,4.012148642,277.9886,814
Indianapolis,07-2019,3.917245945,363.472,964
Indianapolis,07-2020,3.91671624,264.5568,775
Indianapolis,07-2021,4.028863232,286.0848,836
Indianapolis,08-2019,3.915535206,343.246,1021
Indianapolis,08-2020,3.984569572,293.3887,765
Indianapolis,08-2021,3.989498806,292.1227,824
Indianapolis,09-2019,3.906695156,350.8981,944
Indianapolis,09-2020,3.941581785,304.737,730
Indianapolis,09-2021,3.977531455,279.0509,741
Indianapolis,10-2019,3.909966024,340.4209,889
Indianapolis,10-2020,3.970162224,297.6547,733
Indianapolis,10-2021,3.978555304,273.5525,786
Indianapolis,11-2019,3.866223908,311.8406,945
Indianapolis,11-2020,3.966873706,293.8157,695
Indianapolis,11-2021,3.99641577,277.4976,721
Indianapolis,12-2019,3.900883838,314.4731,875
Indianapolis,12-2020,3.967391304,267.2068,727
Indianapolis,12-2021,3.967988668,266.3116,774
Nashville,01-2019,3.917361111,792.5353,881
Nashville,01-2020,3.911282697,696.7747,861
Nashville,01-2021,3.97355507,557.4357,698
Nashville,01-2022,3.931721194,566.8905,613
Nashville,02-2019,3.90500424,788.5174,884
Nashville,02-2020,3.922539399,690.785,889
Nashville,02-2021,3.958451906,576.6938,686
Nashville,03-2019,3.878794743,753.3034,957
Nashville,03-2020,3.928787116,722.4645,745
Nashville,03-2021,3.972610722,651.0082,773
Nashville,04-2019,3.885317658,749.4822,964
Nashville,04-2020,3.895419847,463.1908,426
Nashville,04-2021,3.956529647,615.6697,811
Nashville,05-2019,3.892814371,807.2077,959
Nashville,05-2020,3.938180019,555.5262,506
Nashville,05-2021,3.955928481,628.9558,847
Nashville,06-2019,3.923757277,827.1585,944
Nashville,06-2020,3.974789915,592.2323,672
Nashville,06-2021,3.978720099,617.8875,841
Nashville,07-2019,3.889207563,794.5052,997
Nashville,07-2020,3.950331125,648.9873,674
Nashville,07-2021,3.954624027,634.6396,884
Nashville,08-2019,3.911885245,741.9101,966
Nashville,08-2020,3.965133531,637.3867,698
Nashville,08-2021,3.949685534,567.7497,887
Nashville,09-2019,3.906333414,773.3846,945
Nashville,09-2020,3.961004784,624.3909,719
Nashville,09-2021,3.953004054,624.0804,816
Nashville,10-2019,3.906622023,757.7289,976
Nashville,10-2020,3.973876063,648.0494,766
Nashville,10-2021,3.964807888,574.8803,854
Nashville,11-2019,3.891304347,728.5799,918
Nashville,11-2020,3.981880509,683.0686,688
Nashville,11-2021,3.922809172,579.0725,782
Nashville,12-2019,3.892980256,740.943,891
Nashville,12-2020,3.982107843,638.5564,722
Nashville,12-2021,3.920304777,621.1421,809
New Orleans,01-2019,4.001895649,1405.6976,929
New Orleans,01-2020,4.021840873,1329.9335,917
New Orleans,01-2021,4.048216976,1120.9915,668
New Orleans,01-2022,4.027233782,1292.5569,567
New Orleans,02-2019,4.006912861,1457.4573,901
New Orleans,02-2020,4.013743326,1291.3704,902
New Orleans,02-2021,4.040159699,1084.8976,681
New Orleans,03-2019,3.986996009,1397.1017,995
New Orleans,03-2020,4.011281883,1347.792,772
New Orleans,03-2021,4.02757715,1134.2196,755
New Orleans,04-2019,4.009967051,1406.9931,919
New Orleans,04-2020,3.94876033,1015.476,358
New Orleans,04-2021,4.036245954,1206.8214,748
New Orleans,05-2019,4.0122398,1352.837,949
New Orleans,05-2020,4,898.1858,450
New Orleans,05-2021,4.027841561,1181.8375,778
New Orleans,06-2019,4.005286183,1408.3066,918
New Orleans,06-2020,3.993913043,954.7843,506
New Orleans,06-2021,4.020162381,1274.0744,771
New Orleans,07-2019,3.983802667,1373.8274,890
New Orleans,07-2020,4.015182884,939.4175,575
New Orleans,07-2021,4.016346429,1214.6562,759
New Orleans,08-2019,4.000774893,1416.4822,926
New Orleans,08-2020,4.04263341,1128.6195,597
New Orleans,08-2021,4.035741885,1143.8381,688
New Orleans,09-2019,4.00052356,1368.1154,901
New Orleans,09-2020,4.021524141,1139.8999,594
New Orleans,09-2021,4.036045314,1018.5716,479
New Orleans,10-2019,4.010318573,1422.7111,914
New Orleans,10-2020,4.034126163,1118.6768,598
New Orleans,10-2021,4.027704485,1034.3338,685
New Orleans,11-2019,4.00768203,1391.7914,895
New Orleans,11-2020,4.024064171,1118.5524,647
New Orleans,11-2021,4.052316602,1208.9892,691
New Orleans,12-2019,4.00591409,1360.8078,890
New Orleans,12-2020,4.04735376,1099.3671,615
New Orleans,12-2021,4.040936717,1182.9328,707
Philadelphia,01-2019,3.897417503,586.5807,1821
Philadelphia,01-2020,3.898688585,536.7872,1745
Philadelphia,01-2021,3.954200084,490.6547,1155
Philadelphia,01-2022,3.973045822,600.9466,970
Philadelphia,02-2019,3.890828138,563.3866,1843
Philadelphia,02-2020,3.911545988,526.4736,1679
Philadelphia,02-2021,3.987432675,493.4439,1111
Philadelphia,03-2019,3.892096545,570.6231,1883
Philadelphia,03-2020,3.91153113,557.0419,1414
Philadelphia,03-2021,3.940293415,497.6858,1285
Philadelphia,04-2019,3.894513008,599.0005,1823
Philadelphia,04-2020,3.779423538,365.1425,797
Philadelphia,04-2021,3.924107142,520.035,1290
Philadelphia,05-2019,3.875472589,561.9157,1935
Philadelphia,05-2020,3.860268378,395.7561,985
Philadelphia,05-2021,3.92791411,513.2678,1325
Philadelphia,06-2019,3.871177669,583.4673,1880
Philadelphia,06-2020,3.857142857,390.0989,1017
Philadelphia,06-2021,3.952717224,567.7918,1321
Philadelphia,07-2019,3.900187441,621.37,1833
Philadelphia,07-2020,3.898771706,444.8492,1181
Philadelphia,07-2021,3.948923998,562.4571,1393
Philadelphia,08-2019,3.910384068,585.3888,1878
Philadelphia,08-2020,3.921983356,522.2902,1237
Philadelphia,08-2021,3.92665549,586.5066,1368
Philadelphia,09-2019,3.868734693,601.3332,1842
Philadelphia,09-2020,3.90851735,554.7675,1329
Philadelphia,09-2021,3.910801713,537.6714,1344
Philadelphia,10-2019,3.909469764,575.7803,1790
Philadelphia,10-2020,3.925385109,531.491,1352
Philadelphia,10-2021,3.956283343,559.2377,1375
Philadelphia,11-2019,3.912398412,566.7777,1694
Philadelphia,11-2020,3.961249059,519.5233,1272
